Time,Displacement,Force,Strain,Stress,TKS
0,0,-0.21388,0,-0.02046,3.38
1,0.00156,0.25433,0.00046,0.02433,3.37844
2,0.00331,0.54762,0.00098,0.05238,3.37669
3,0.00506,0.93517,0.00149,0.08945,3.37494
4,0.00663,1.36171,0.00196,0.13024,3.37337
5,0.00831,1.50806,0.00245,0.14424,3.37169
6,0.01006,1.86698,0.00297,0.17857,3.36994
7,0.01169,2.35909,0.00345,0.22564,3.36831
8,0.01331,2.53689,0.00393,0.24265,3.36669
9,0.015,3.09678,0.00443,0.2962,3.365
10,0.01669,3.34221,0.00493,0.31968,3.36331
11,0.01838,3.89985,0.00542,0.37301,3.36162
12,0.01994,4.1321,0.00588,0.39523,3.36006
13,0.02169,4.77106,0.0064,0.45634,3.35831
14,0.02331,4.77796,0.00688,0.457,3.35669
15,0.02506,5.13725,0.0074,0.49137,3.35494
16,0.02662,5.96226,0.00786,0.57028,3.35338
17,0.02831,6.17935,0.00836,0.59104,3.35169
18,0.03006,6.5923,0.00887,0.63054,3.34994
19,0.03162,7.82134,0.00933,0.7481,3.34838
20,0.03344,8.34777,0.00987,0.79845,3.34656
21,0.03494,9.2824,0.01031,0.88784,3.34506
22,0.03669,9.23557,0.01083,0.88336,3.34331
23,0.03825,9.00681,0.01129,0.86148,3.34175
24,0.04006,9.37599,0.01182,0.89679,3.33994
25,0.04175,9.81456,0.01232,0.93874,3.33825
26,0.04325,10.25396,0.01277,0.98077,3.33675
27,0.04506,10.91665,0.0133,1.04416,3.33494
28,0.04662,11.33648,0.01376,1.08431,3.33338
29,0.04837,11.75016,0.01428,1.12388,3.33163
30,0.04994,12.32188,0.01474,1.17856,3.33006
31,0.05162,13.01193,0.01524,1.24457,3.32838
32,0.05338,13.42321,0.01575,1.2839,3.32662
33,0.05494,13.90271,0.01622,1.32977,3.32506
34,0.05675,14.61633,0.01675,1.39802,3.32325
35,0.05825,15.31493,0.01719,1.46484,3.32175
36,0.06006,15.74306,0.01773,1.50579,3.31994
37,0.06163,16.3757,0.01819,1.5663,3.31837
38,0.06331,16.89287,0.01869,1.61577,3.31669
39,0.06506,17.37675,0.0192,1.66205,3.31494
40,0.06656,17.65909,0.01965,1.68906,3.31344
41,0.06844,18.42542,0.0202,1.76235,3.31156
42,0.06994,18.91229,0.02064,1.80892,3.31006
43,0.07175,19.77091,0.02118,1.89105,3.30825
44,0.07325,20.24282,0.02162,1.93619,3.30675
45,0.07506,21.13994,0.02216,2.02199,3.30494
46,0.07675,21.40587,0.02265,2.04743,3.30325
47,0.07825,22.05095,0.0231,2.10913,3.30175
48,0.08006,22.9396,0.02363,2.19413,3.29994
49,0.08162,23.49354,0.02409,2.24711,3.29838
50,0.08344,24.40612,0.02463,2.3344,3.29656
51,0.08494,24.62909,0.02507,2.35572,3.29506
52,0.08669,25.2095,0.02559,2.41124,3.29331
53,0.08838,26.21994,0.02608,2.50788,3.29162
54,0.09,26.81505,0.02656,2.56481,3.29
55,0.09169,27.51524,0.02706,2.63178,3.28831
56,0.09331,28.49241,0.02754,2.72524,3.28669
57,0.09506,29.25979,0.02806,2.79864,3.28494
58,0.09663,29.62505,0.02852,2.83358,3.28337
59,0.09831,30.5537,0.02902,2.9224,3.28169
60,0.10006,31.49714,0.02953,3.01264,3.27994
61,0.10169,31.89561,0.03001,3.05075,3.27831
62,0.10331,32.29883,0.03049,3.08932,3.27669
63,0.10506,33.57096,0.03101,3.211,3.27494
64,0.10663,34.25274,0.03147,3.27621,3.27337
65,0.10837,35.06861,0.03199,3.35424,3.27163
66,0.10994,35.9518,0.03245,3.43872,3.27006
67,0.11175,36.821,0.03298,3.52186,3.26825
68,0.11338,37.76006,0.03346,3.61167,3.26662
69,0.11494,38.30199,0.03392,3.66351,3.26506
70,0.11675,39.15285,0.03446,3.74489,3.26325
71,0.11831,40.25288,0.03492,3.85011,3.26169
72,0.12006,40.95765,0.03544,3.91752,3.25994
73,0.12162,42.24899,0.0359,4.04103,3.25838
74,0.12338,42.966,0.03642,4.10961,3.25662
75,0.12506,44.02256,0.03691,4.21067,3.25494
76,0.12656,44.52148,0.03736,4.25839,3.25344
77,0.12844,45.48048,0.03791,4.35012,3.25156
78,0.12994,46.74129,0.03835,4.47071,3.25006
79,0.13169,47.86906,0.03887,4.57858,3.24831
80,0.13325,48.12083,0.03933,4.60266,3.24675
81,0.135,49.61547,0.03985,4.74562,3.245
82,0.13675,50.57824,0.04036,4.83771,3.24325
83,0.13825,51.57552,0.04081,4.9331,3.24175
84,0.14006,52.94524,0.04134,5.06411,3.23994
85,0.14163,53.49513,0.0418,5.1167,3.23837
86,0.14337,54.45153,0.04232,5.20818,3.23663
87,0.14494,55.38591,0.04278,5.29755,3.23506
88,0.14669,56.85429,0.0433,5.438,3.23331
89,0.14837,57.62402,0.04379,5.51162,3.23163
90,0.14994,58.78918,0.04426,5.62307,3.23006
91,0.15175,59.90852,0.04479,5.73013,3.22825
92,0.15331,61.1285,0.04525,5.84682,3.22669
93,0.15506,61.82043,0.04577,5.913,3.22494
94,0.15663,63.17011,0.04623,6.0421,3.22337
95,0.15838,64.4521,0.04675,6.16472,3.22162
96,0.16006,65.61811,0.04724,6.27624,3.21994
97,0.16163,66.64101,0.04771,6.37408,3.21837
98,0.16338,67.92522,0.04822,6.49691,3.21662
99,0.165,68.88167,0.0487,6.58839,3.215
100,0.16675,70.17163,0.04922,6.71178,3.21325
101,0.16825,71.41523,0.04966,6.83072,3.21175
102,0.17,72.57738,0.05018,6.94188,3.21
103,0.17169,73.77262,0.05068,7.0562,3.20831
